year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2045,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2046,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2047,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2048,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2049,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2024,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2025,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2026,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2027,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2028,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2029,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2030,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2031,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2032,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2033,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2034,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2035,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2036,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2037,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2038,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2039,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2040,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2041,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2042,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2043,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2044,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2045,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2046,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2047,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2048,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2049,14098.1608,IL_1224308031,electricity,building,building_aggregate,continued_gas
2024,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2025,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2026,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2027,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2028,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2029,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2030,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2031,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2032,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2033,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2034,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2035,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2036,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2037,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2038,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
2039,84615.56707587835,IL_1224308031,natural_gas,building,building_aggregate,continued_gas
