year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2034,4026.509574942248,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2035,4151.824762109453,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2036,4282.872348769584,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2037,4419.922933934363,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2038,4563.2601858994285,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2039,4713.181490590019,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2040,4869.998531659737,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2041,2966.1026628412187,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2042,3067.213736243129,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2043,3172.9938733552854,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2044,3283.6649021537582,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2045,3399.459447462544,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2046,3520.6213531766657,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2047,3647.4063256497593,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2048,3780.082496658213,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2049,3918.93094615358,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2050,4064.246466285332,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2051,4216.338124365007,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2052,4375.530067100681,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2053,4542.162184090421,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2054,4716.5908718450455,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2055,4899.189918446049,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2056,5090.351307780087,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2057,5290.486144408634,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2058,5500.025558331769,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2059,5719.421690175424,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2060,5949.148797013791,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2061,6189.704237556564,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2062,6441.609718712392,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2063,6705.41238130542,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2064,6981.686147168057,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2065,7271.033005916142,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2020,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2021,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2022,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2023,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2024,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2025,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2026,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2027,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2028,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2029,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2030,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2031,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2032,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2033,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2034,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2035,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
2036,0.0,F_350459_2902427,propane,building,building_aggregate,hybrid_gas
