year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2061,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2062,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2063,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2064,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2065,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2020,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2021,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2022,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2023,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2024,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2025,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2026,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2027,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2028,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2029,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2030,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2031,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2032,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2033,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2034,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2035,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2036,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2037,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2038,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2039,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2040,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2041,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2042,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2043,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2044,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2045,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2046,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2047,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2048,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2049,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2050,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2051,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2052,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2053,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2054,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2055,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2056,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2057,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2058,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
2059,24.147727272727277,GS029,gas_network,gas_service,hybrid_gas
