year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2038,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2039,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2040,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2041,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2042,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2043,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2044,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2045,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2046,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2047,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2048,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2049,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2050,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2051,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2052,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2053,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2054,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2055,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2056,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2057,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2058,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2059,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2060,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2061,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2062,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2063,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2064,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2065,0.0,F_714723_2938816,propane,building,building_aggregate,hybrid_gas
2020,3149.133023044782,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2021,3149.133023044782,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2022,3149.133023044782,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2023,3149.133023044782,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2024,3149.133023044782,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2025,4294.272304151976,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2026,4335.170135620089,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2027,4376.067967088204,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2028,4457.863630024432,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2029,4498.761461492546,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2030,4539.65929296066,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2031,4580.557124428774,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2032,4662.352787365003,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2033,4703.250618833116,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2034,4785.046281769345,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2035,4825.944113237459,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2036,4907.739776173687,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2037,4948.6376076418,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2038,5030.433270578029,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2039,5071.331102046142,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2040,2973.033730851252,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2041,3020.224742452065,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2042,3043.820248252472,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
2043,3091.011259853285,F_714723_2938816,fuel_oil,building,building_aggregate,hybrid_gas
